33
0 0
960098282 582
137740584 5129
986443459 444742
995003015 697311
56562991 116257
999182278 2381918
999674611 4046858
17159662 392295
999886486 74716013
999990764 171780368
999963960 521104798
1067785 954093
999911998 969932262
999755694 991221545
997536396 998813609
990551365 999439731
985654254 999618564
857906145 999925018
730324664 999999855
650396 2267166
204515678 999978209
58105007 999933849
32748287 999819880
17978538 999227055
146055 18281903
6451976 998733375
2542971 997229823
38551 35501858
901243 996079064
594848 976475388
387593 960763158
8731 813254884
